1, none, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 80, 4, 4
2, none, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 80, 4, 4
3, none, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, none, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 80, 4, 4
5, none, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 80, 4, 4
6, none, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 80, 4, 4
7, none, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 5, 1, 4
8, none, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
9, none, regions_unexplored:alpha_grove, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
10, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:centipede_head, 10, 1, 1
11, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
12, none, regions_unexplored:alpha_grove, MONSTER, alexsmobs:murmur, 10, 1, 1
13, none, regions_unexplored:alpha_grove, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
14, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:drygmy, 10, 1, 2
15, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
16, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
17, none, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
18, none, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
19, none, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:fly, 10, 2, 3
20, none, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:cockroach, 10, 5, 5
21, none, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
22, none, regions_unexplored:alpha_grove, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
23, none, far_end:amethyst_forest, MONSTER, minecraft:enderman, 5, 4, 4
24, none, far_end:amethyst_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
25, none, far_end:amethyst_forest, CREATURE, alexsmobs:endergrade, 10, 2, 6
26, none, far_end:amethyst_forest, CREATURE, alexsmobs:spectre, 10, 1, 2
27, none, far_end:amethyst_forest, CREATURE, alexsmobs:enderiophage, 10, 2, 2
28, none, far_end:amethyst_forest, CREATURE, alexsmobs:cosmaw, 10, 1, 2
29, none, far_end:amethyst_forest, AMBIENT, alexsmobs:cosmic_cod, 10, 9, 12
30, none, deeper_dark:amethyst_mines, MONSTER, alexsmobs:farseer, 30, 1, 1
31, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:spider, 80, 4, 4
32, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:zombie, 80, 4, 4
33, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
34, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:skeleton, 80, 4, 4
35, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:creeper, 80, 4, 4
36, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:slime, 80, 4, 4
37, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:enderman, 5, 1, 4
38, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:witch, 5, 1, 1
39, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
40, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
41, forest, ars_nouveau:archwood_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
42, forest, ars_nouveau:archwood_forest, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
43, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 3, 5
44, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 3
45, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 3
46, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:blazing_weald_walker, 10, 1, 1
47, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:cascading_weald_walker, 10, 1, 1
48, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:flourishing_weald_walker, 10, 1, 1
49, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:vexing_weald_walker, 10, 1, 1
50, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:wolf, 10, 4, 4
51, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:sheep, 12, 4, 4
52, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:pig, 10, 4, 4
53, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:chicken, 10, 4, 4
54, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:cow, 10, 4, 4
55, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
56, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
57, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:crow, 10, 3, 5
58, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
59, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
60, forest, ars_nouveau:archwood_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
61, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
62, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
63, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
64, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
65, forest, ars_nouveau:archwood_forest, AMBIENT, minecraft:bat, 10, 8, 8
66, forest, ars_nouveau:archwood_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
67, forest, ars_nouveau:archwood_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
68, forest, ars_nouveau:archwood_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
69, forest, ars_nouveau:archwood_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
70, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:spider, 80, 4, 4
71, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie, 19, 4, 4
72, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:zombie_villager, 10, 1, 1
73, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:skeleton, 80, 4, 4
74, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:creeper, 80, 4, 4
75, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:slime, 80, 4, 4
76, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:enderman, 5, 1, 4
77, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:witch, 5, 1, 1
78, badlands, regions_unexplored:arid_mountains, MONSTER, minecraft:husk, 80, 4, 4
79, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:nightmare, 10, 1, 1
80, badlands, regions_unexplored:arid_mountains, MONSTER, graveyard:skeleton_creeper, 25, 1, 4
81, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
82, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:farseer, 30, 1, 1
83, badlands, regions_unexplored:arid_mountains, MONSTER, alexsmobs:murmur, 10, 1, 1
84, badlands, regions_unexplored:arid_mountains, MONSTER, fromtheshadows:nehemoth, 10, 1, 1
85, badlands, regions_unexplored:arid_mountains, CREATURE, minecraft:rabbit, 10, 2, 3
86, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:roadrunner, 10, 2, 2
87, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
88, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
89, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:emu, 20, 2, 5
90, badlands, regions_unexplored:arid_mountains, CREATURE, alexsmobs:kangaroo, 25, 3, 5
91, badlands, regions_unexplored:arid_mountains, CREATURE, ars_nouveau:drygmy, 10, 1, 2
92, badlands, regions_unexplored:arid_mountains, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
93, badlands, regions_unexplored:arid_mountains, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
94, badlands, regions_unexplored:arid_mountains, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
95, badlands, regions_unexplored:arid_mountains, AMBIENT, minecraft:bat, 10, 8, 8
96, badlands, regions_unexplored:arid_mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
97, badlands, regions_unexplored:arid_mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
98, badlands, regions_unexplored:arid_mountains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
99, badlands, regions_unexplored:arid_mountains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
100, none, far_end:ashfall_delta, MONSTER, minecraft:wither_skeleton, 10, 1, 2
101, none, far_end:ashfall_delta, MONSTER, minecraft:skeleton, 11, 2, 2
102, none, far_end:ashfall_delta, MONSTER, alexsmobs:farseer, 30, 1, 1
103, none, far_end:ashfall_delta, CREATURE, alexsmobs:endergrade, 10, 2, 6
